IP,Dự Án,Line,Station ID,Tên Trạm
10.239.202.107,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-COMBO-1_IN26A-01,FATP-CAM-COMBO-1
10.239.202.12,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-QT-0A_WT26A-02,SA-QT-0A
10.239.202.228,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-COMBO-1_IN26A-03,FATP-CAM-COMBO-1
10.239.202.201,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RF-DESENSE_BJ26A-04,FATP-RF-DESENSE
10.239.202.39,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-MU-COMBO-4_IN26A-01,FATP-CAM-MU-COMBO-4
10.239.202.61,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-MU-COMBO-2_IN26A-01,FATP-CAM-MU-COMBO-2
10.239.203.3,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-QT-0A_WT26A-01,SA-QT-0A
10.239.202.87,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-AIRLK-WTX_IN26A-01,FATP-AIRLK-WTX
10.239.203.158,4CS4,None,4CS4_FVN-E2F3-G02GQDM02,None
10.239.203.13,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-COMBO-1_IN26A-01,FATP-CAM-COMBO-1
10.239.202.14,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-MU-COMBO-2_IN26A-01,FATP-CAM-MU-COMBO-2
10.239.226.87,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-BATT-VOC_JH26A-01,FATP-BATT-VOC
10.239.203.47,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-OIS_IN26A-01,FATP-CAM-OIS
10.239.202.191,4CS4,FVN-E2F3-C03,4CS4_FVN-E2F3-C03_SA-CG-AIRLK-TRIM_IN26A-01,SA-CG-AIRLK-TRIM
10.239.209.170,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-QT-2M_ORT-02,FATP-QT-2M
10.239.206.13,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-5GMMW-COMBO_RS26A-02,FATP-RF-5GMMW-COMBO
10.239.202.56,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RF-CELL_BJ26A-01,FATP-RF-CELL
10.239.203.61,4CS4,FVN-E2F3-C03,4CS4_FVN-E2F3-C03_SA-CG-AIRLK-TRIM_IN26A-02,SA-CG-AIRLK-TRIM
10.239.202.43,4CS4,FVN-E2F3-C03,4CS4_FVN-E2F3-C03_SA-CG-AIRLK-TRIM_IN26A-03,SA-CG-AIRLK-TRIM
10.239.209.164,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-QT-1M_ORT-02,FATP-QT-1M
10.239.209.145,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-QT-1M_ORT-01,FATP-QT-1M
10.239.208.195,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-THERMAL_IN26A-ORT-01,FATP-THERMAL
10.239.208.233,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-REFLASH2_ORT-01,FATP-REFLASH2
10.239.222.171,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_SA-AOI-B2B_IN26A-05,SA-AOI-B2B
10.239.205.7,4CS4,FVN-E2F3-C01,4CS4_FVN-E2F3-C01_SA-CG-AIRLK-TRIM_IN26A-03,SA-CG-AIRLK-TRIM
10.239.206.12,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-5GMMW-COMBO_RS26A-01,FATP-RF-5GMMW-COMBO
10.239.251.239,4CS4,FVN-E2F4-G01,4CS4_FVN-E2F4-G01_FATP-RELCHECK_ORT-01,FATP-RELCHECK
10.239.202.35,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-COMBO-1_IN26A-02,FATP-CAM-COMBO-1
10.239.202.16,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-COMBO-1_IN26A-03,FATP-CAM-COMBO-1
10.239.202.15,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-COMBO-1_IN26A-02,FATP-CAM-COMBO-1
10.239.202.55,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AIRLK-CGTSPK_IN26A-01,SA-AIRLK-CGTSPK
10.239.203.38,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-OIS_IN26A-01,FATP-CAM-OIS
10.239.202.54,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AIRLK-CGTSPK_IN26A-02,SA-AIRLK-CGTSPK
10.239.203.21,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RGEO-CAL_IN26A-01,FATP-RGEO-CAL
10.239.203.113,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-MU-COMBO-4_IN26A-01,FATP-CAM-MU-COMBO-4
10.239.202.30,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_SA-AIRLK-BUCKET_IN26A-02,SA-AIRLK-BUCKET
10.239.203.42,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-MU-COMBO-3_IN26A-01,FATP-CAM-MU-COMBO-3
10.239.202.58,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AOI-B2B_IN26A-01,SA-AOI-B2B
10.239.202.57,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_SA-AOI-B2B_IN26A-03,SA-AOI-B2B
